GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 0-100kph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Ambient air temp(°C),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometric pressure (from vehicle)(psi),CO₂ in g/km (Average)(g/km),DPF Pressure(psi),DPF Temperature(°C),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(°C),Engine reference torque(Nm),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 1(%),Fuel trim bank 1 sensor 2(%),Fuel Trim Bank 1 Short Term(%),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Turbo Pressure Control(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Sat Nov 02 15:35:35 GMT+05:30 2019,02-Nov-2019 15:35:34.647,78.37600683,17.46832275,0.0,3.216,505.35479736328125,0.0,0.7630794,5.76304197,8.19533157,0.01359673,-,14.50980377,0.00294656,0.06057066,0.59589046,0.70402771,14.90196133,7.45098066,-,-,-,-,21.57453156,20.77471542,13.63354778,204.64678955,-,-,59,-,36.07843018,26.27450943,-,-,797,-,0.24154101,0.00402568,20.32938766,-5.46875,-0.78125,-,-,3.21600008,505.35479736,0,17.46832275,78.37600708,-,0,-,53,6.38166046,0,11.29820538,8.85077953,0,31.91583443,0.77499998,0.76999998,4.31372547,5724,0,0,15.29411793,0.5,-,12.6999979,7.87385321,35.8757019,-,0,0,0,-7.25188732,-,13.56999969,13.80000019,-
Sat Nov 02 15:35:36 GMT+05:30 2019,02-Nov-2019 15:35:35.643,78.37600756,17.46832269,0.0,3.216,505.54498291015625,0.0,-6.50001144,-3.12657857,6.34841728,-0.02829823,-,14.50980377,-0.08351189,-0.4072924,-0.3890394,0.62259126,14.90196133,7.45098066,-,-,-,-,-,0,13.63354778,204.64678955,-,-,60,-,40,26.27450943,-,-,798,-,0.24154101,0.00402568,20.32938766,-5.46875,-0.78125,-,-,3.21600008,505.54498291,0,17.46832275,78.37600708,-,0,-,53,6.38166046,0,11.29796696,8.8509655,0,31.91516113,0.77499998,0.76999998,4.31372547,5724,0,0,15.29411793,0.5,-,12.6999979,7.87385321,35.8757019,-,0,0,0,-7.25188732,-,13.56999969,13.80000019,-
Sat Nov 02 15:35:37 GMT+05:30 2019,02-Nov-2019 15:35:36.644,78.37600776,17.46832262,0.0,3.216,505.59765625,0.0,-0.64067101,-1.65695262,9.86378288,0.16254145,-,14.50980377,0.02034983,-0.03979036,-0.17818357,0.90352881,14.90196133,7.45098066,-,-,-,-,-,0,13.63354778,204.64678955,-,-,60,-,40,26.27450943,-,-,798,-,0.24154101,0.00402568,20.32938766,-5.46875,-0.78125,-,2.34375,3.21600008,505.59765625,0,17.46832275,78.37600708,-,0,-,52,6.38166046,0,11.29796696,8.8509655,0,31.91516113,0.77499998,0.76999998,4.31372547,5724,0,0,15.29411793,0.5,-,12.6999979,7.87385321,35.8757019,-,0,0,0,-7.25188732,-,13.56999969,13.80000019,-
Sat Nov 02 15:35:38 GMT+05:30 2019,02-Nov-2019 15:35:37.648,78.3760081,17.4683227,0.0,3.216,505.7994384765625,0.0,-0.69217378,-1.74318981,9.86138725,0.04431552,-,14.50980377,0.01752766,-0.05224392,-0.16524161,0.90230799,14.90196133,7.45098066,-,-,-,-,-,0,13.63354778,204.64678955,-,-,60,-,40,26.27450943,-,-,798,-,0.24154101,0.00402568,20.32938766,-5.46875,3.125,-,2.34375,3.21600008,505.79943848,0,17.46832275,78.37600708,-,0,-,52,6.38166046,0,11.29796696,8.8509655,0,31.91516113,0.75,0.45499998,4.31372547,5724,0,0,15.29411793,0.5,-,12.6999979,7.87385321,35.8757019,-,0,0,0,-7.25188732,-,13.73499966,13.80000019,-
Sat Nov 02 15:35:39 GMT+05:30 2019,02-Nov-2019 15:35:38.644,78.37600831,17.46832245,0.0,3.216,505.794677734375,0.0,-0.62390268,-1.67970967,9.956007,0.0434779,-,14.50980377,0.02615509,-0.0682382,-0.17244515,0.9089011,14.90196133,7.45098066,-,-,-,-,-,0,13.63354778,204.64678955,-,-,60,-,40,26.27450943,-,-,798,-,0.24154101,0.00402568,20.32938766,-5.46875,3.125,-,2.34375,3.21600008,505.79467773,0,17.46832275,78.37600708,-,0,-,52,6.38166046,0,11.29796696,8.8509655,0,31.91516113,0.75,0.45499998,4.31372547,5724,0,0,15.29411793,0.5,-,12.6999979,7.87385321,35.8757019,-,0,0,0,-7.25188732,-,13.73499966,13.89999962,-
Sat Nov 02 15:35:40 GMT+05:30 2019,02-Nov-2019 15:35:39.645,78.37600813,17.46832249,0.0,3.216,505.77740478515625,0.0,-0.61072755,-1.69647801,9.77275467,0.0417373,-,15.29411793,0.03399183,-0.05676138,-0.17671844,0.9168371,14.90196133,7.45098066,-,-,-,-,-,0,13.63354778,204.64678955,-,-,60,-,40,26.27450943,-,-,798,-,0.24154101,0.00402568,20.32938766,-5.46875,3.125,-,2.34375,3.21600008,505.77740479,0,17.46832275,78.37600708,-,0,-,52,6.38166046,0,11.29796696,8.8509655,0,31.91516113,0.75,0.45499998,5.09803915,5724,0,0,15.29411793,0.5,-,12.6999979,7.87385321,35.8757019,-,0,0,0,-7.25188732,-,13.73499966,13.89999962,-
Sat Nov 02 15:35:41 GMT+05:30 2019,02-Nov-2019 15:35:40.645,78.37600882,17.46832233,0.0,3.216,505.9483642578125,0.0,-0.54844511,-1.05329204,10.00271988,0.04249253,-,15.29411793,0.02566235,-0.05370905,-0.13191004,0.91537184,14.90196133,7.45098066,-,-,-,-,-,0,13.63354778,204.64678955,-,-,60,-,40,31.37254906,-,-,798,-,0.24154101,0.00402568,20.32938766,-5.46875,3.125,-,2.34375,3.21600008,505.94836426,0,17.46832275,78.37600708,-,0,-,52,6.38166046,0,11.29796696,8.8509655,0,31.91516113,0.75,0.45499998,5.09803915,29,0,0,15.29411793,0.5,-,12.6999979,7.87385321,35.8757019,-,0,0,0,-7.25188732,-,13.73499966,13.89999962,-
Sat Nov 02 15:35:42 GMT+05:30 2019,02-Nov-2019 15:35:41.645,78.37601168,17.46832384,0.38,3.216,505.5029296875,118.2,0.15462787,-1.01855755,10.18238068,0.02208872,-,15.29411793,-0.01682491,-0.04088921,-0.03655487,0.88130778,14.90196133,7.45098066,-,-,-,-,-,0,13.63354778,204.64678955,-,-,60,-,40,31.37254906,-,-,798,-,0.24154101,0.00402568,20.32938766,-5.46875,3.125,-,2.34375,3.21600008,505.50292969,118.19999695,17.46832466,78.37601471,-,0,-,52,6.38166046,0,11.29796696,8.8509655,0,31.91516113,0.75,0.45499998,5.09803915,29,1.36799991,0,15.29411793,0.5,-,12.6999979,7.87385321,35.8757019,-,0,0,0,-7.25188732,-,13.73499966,13.89999962,-
Sat Nov 02 15:35:43 GMT+05:30 2019,02-Nov-2019 15:35:42.644,78.37601603,17.468323,0.7,3.216,505.3944091796875,131.2,-0.1555866,-0.98262542,9.90690041,0.06346606,-,15.29411793,0.12083183,0.06679744,-0.19637552,1.00108171,14.90196133,7.45098066,-,-,-,-,-,0,13.63354778,204.64678955,-,-,60,-,40,31.37254906,-,-,798,-,0.24154101,0.00402568,20.32938766,-5.46875,3.125,-,2.34375,3.21600008,505.39440918,131.19999695,17.46832275,78.37601471,-,0,-,52,6.67173576,181.2480011,11.29846668,8.85057449,512,31.91657257,0.75,0.45499998,5.09803915,29,2.51999998,0,15.29411793,0.5,-,12.42776394,8.04633236,35.10667801,-,0,0,0,-6.96181202,-,13.73499966,13.89999962,-
Sat Nov 02 15:35:44 GMT+05:30 2019,02-Nov-2019 15:35:43.645,78.37601471,17.46832435,0.58,3.216,505.30029296875,141.0,0.52592707,-1.16108847,9.95600796,0.04365222,-,15.29411793,0.00447831,0.06459975,-0.09235169,0.89779043,14.90196133,7.45098066,-,-,-,-,5,1.66666663,13.63354778,204.64678955,-,-,60,0.87851703,40.39215851,31.37254906,-,-,936.5,-,0.24154101,0.00402568,20.32938766,-5.46875,3.125,-,-1.5625,3.21600008,505.30029297,141,17.46832466,78.37601471,-,2.48000002,1.17811072,52,6.67173576,181.2480011,11.29846668,8.85057449,512,31.91657257,0.75,0.45499998,5.09803915,29,2.08799982,5,15.29411793,0.5,8.95786285,12.42776394,8.04633236,35.10667801,-,0,0.83499998,0,-6.96181202,-,13.73499966,13.89999962,-
